CENSUS_YEAR,COMM_CODE,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
2019,MAC,"1,786","4,754","1,749",36,"1,511",1,0,0,0
2004,TAR,"2,545","7,951","2,295",122,"2,074",2,119,0,7
2007,MRL,"3,082","8,447","2,979",59,"2,075",6,3,29,6
2011,GRE,501,931,473,27,446,0,0,1,0
2003,HAR,"2,549","7,438","2,534",12,"2,438",2,1,0,0
2012,MPL,811,"1,907",793,13,747,3,0,2,0
2017,WHL,"3,072","6,338","2,742",222,"1,654",12,71,8,17
2011,WBN,"3,371","9,086","3,276",73,"2,962",16,1,5,0
2000,MNI,4,6,3,1,1,0,0,0,
2014,PKL,"1,445","3,769","1,420",17,"1,363",7,0,0,1
2003,WSP,"1,183","2,557",915,97,872,1,156,0,14
2012,COA,"1,480","3,279","1,422",44,"1,220",10,0,3,1
2018,COV,"5,591","17,527","5,490",79,"4,590",12,1,7,2
2014,X03,29,75,24,5,48,0,0,0,0
2017,AYB,13,0,4,2,0,0,0,0,7
2017,KIL,"3,854","7,423","3,426",321,"1,910",17,66,7,17
2007,TAR,"3,550","11,262","3,085",43,"2,690",10,396,11,5
2008,MON,"1,701","3,870","1,583",61,828,9,28,13,7
2003,STA,718,"1,755",686,21,365,3,3,1,4
2015,LKB,"4,108","10,524","4,000",53,"3,572",27,4,20,4
2004,COL,956,"2,286",918,37,711,1,0,0,0
1998,TAR,515,"1,503",475,6,471,0,34,,
1998,RID,347,656,324,18,316,0,2,,
2011,X08,0,27,0,0,44,0,0,0,0
2019,PEG,1,0,0,1,0,0,0,0,0
2010,SHN,"3,296","9,309","3,222",58,"2,788",8,0,8,0
2001,MIS,"2,656","3,682","2,499",116,591,9,10,4,18
2008,CRM,434,"1,298",408,8,404,0,16,0,2
2011,CHK,587,"1,703",568,12,474,6,1,0,0
2005,WND,"2,396","3,834","2,186",90,832,4,43,5,68
2011,CAN,"3,191","7,895","3,102",74,"2,566",12,2,1,0
1999,LKV,"2,326","5,852","2,292",31,"1,886",3,0,0,
2004,BRA,"2,542","6,208","2,476",64,"2,035",2,0,0,0
2005,DNC,"4,830","7,229","4,334",228,179,2,132,0,134
