CENSUS_YEAR,COMM_CODE,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
2013,CHR,728,"2,209",717,6,663,5,0,0,0
1999,CHR,830,"2,193",799,30,695,0,1,0,
2008,BNF,"1,831","3,753","1,683",70,656,6,7,63,2
2000,DAL,"3,683","9,256","3,598",67,"2,589",8,1,4,
1998,ACA,"4,801","11,171","4,752",43,"4,552",0,0,,
2013,SOV,930,"1,933",802,31,421,84,1,10,2
2003,BNF,"1,742","3,616","1,633",63,764,5,3,30,8
2019,MAF,156,432,152,1,141,2,1,0,0
2003,COL,956,"2,278",932,22,735,0,1,1,0
2014,DIA,271,713,271,0,263,0,0,0,0
2002,CFC,5,101,1,0,0,1,0,0,3
2009,SNA,"2,130","3,357","1,950",120,538,17,1,32,10
2010,SAN,"2,117","6,379","2,083",30,"1,868",2,0,2,0
2017,RDL,626,"1,536",584,28,461,8,5,0,1
2007,MCT,"5,248","11,805","4,774",51,"4,338",4,385,12,22
2008,RID,344,620,310,19,254,8,2,0,5
1999,MLR,"1,678","4,674","1,557",13,"1,423",3,103,0,
2009,ASP,"1,211","2,823",901,37,791,2,245,3,23
2004,SHN,"3,274","9,553","3,205",43,"2,945",2,20,2,2
2005,CHN,759,"1,248",743,14,122,0,0,0,2
2006,STR,"2,417","7,270","2,391",24,"2,218",2,0,0,0
2014,SOM,"3,144","8,751","3,110",26,"2,446",4,0,3,1
2011,APP,"2,073","6,404","1,987",76,"1,395",1,1,8,0
2009,X03,48,131,40,3,50,0,0,5,0
2006,RID,343,651,328,7,277,6,1,0,1
2012,NHU,246,621,243,2,226,1,0,0,0
2015,RIC,"2,328","4,663","2,099",121,"1,307",9,81,14,4
2002,BNK,"3,430","5,259","3,226",104,779,25,60,9,6
2006,BUR,2,2,1,1,0,0,0,0,0
2009,MPK,"3,041","8,554","2,913",111,"2,178",7,0,8,2
2009,CHN,"1,457","1,287",806,20,171,24,597,0,10
2009,ESH,0,0,0,0,0,0,0,0,0
2005,ABB,"2,003","6,040","1,922",66,"1,497",3,0,12,0
2013,SPR,"2,454","4,157","2,032",252,852,5,129,19,17
2007,HPK,"2,054","3,660","1,882",45,587,20,24,76,7
2002,CGR,230,296,103,6,99,0,106,0,15
2010,VAF,6,0,4,1,0,0,0,0,1
2016,PEG,1,0,1,0,0,0,0,0,0
2018,FHT,"2,256","6,422","2,135",107,"1,293",5,0,2,7
2018,WHI,"3,967","11,955","3,675",230,"2,409",11,5,42,4
2004,X11,0,0,0,0,0,0,0,0,0
2004,SOC,"1,974","3,335","1,773",171,775,2,16,2,10
2015,SSW,165,387,150,8,126,0,4,3,0
2019,SHI,150,255,139,11,126,0,0,0,0
2004,MID,"2,648","7,232","2,568",71,"1,863",6,1,1,1
2004,CAM,912,"2,008",871,36,567,2,0,2,1
2015,MIS,"3,395","4,492","3,007",158,919,42,173,3,12
2013,NHV,991,"2,367",967,19,674,2,1,2,0
1999,DGN,799,"2,141",734,23,724,0,37,0,
2012,MEA,277,623,261,12,222,3,0,0,1
2006,ESH,1,0,0,0,0,0,0,0,1
2018,BLN,"18,029","24,872","15,852","1,363","4,264",62,527,37,188
2002,RIV,"3,465","10,773","3,451",13,"3,297",0,0,0,1
2008,NAW,3,15,1,2,0,0,0,0,0
2008,ESH,1,0,0,0,0,0,0,0,1
2005,OSH,1,3,1,0,1,0,0,0,0
2008,SAW,2,0,1,1,0,0,0,0,0
2018,WIL,"2,292","5,295","2,214",48,"1,719",24,2,1,3
2011,CRM,455,"1,430",437,6,425,0,12,0,0
1999,FHT,"2,085","6,802","2,054",26,"1,432",1,0,3,
2019,COU,"1,435","3,767","1,399",34,"1,121",1,0,0,1
2013,ABB,"2,027","6,074","1,973",38,"1,438",5,0,10,1
2017,POI,846,"1,354",813,28,621,5,0,0,0
2011,CIT,"3,479","10,171","3,431",40,"3,061",4,0,1,3
2015,SKR,"2,996","7,333","2,284",23,"2,098",0,688,0,1
2018,CAS,"1,983","6,273","1,885",90,"1,203",7,0,1,0
2001,MCK,"4,586","14,881","4,504",42,"4,214",2,35,0,3
2000,RUT,968,"2,359",957,11,401,0,0,0,
2007,HOU,"1,101","2,940","1,059",12,810,8,13,3,6
2004,EVN,427,682,249,49,237,0,114,0,15
1998,MAC,"1,769","5,678","1,753",14,"1,749",0,1,,
2005,LKB,"3,605","10,392","3,544",41,"3,409",17,0,0,3
2003,MPK,"2,981","8,942","2,905",68,"2,267",1,0,7,0
2018,COP,0,0,0,0,0,0,0,0,0
2018,PCK,5,0,4,1,0,0,0,0,0
2001,MCI,0,0,0,0,0,0,0,0,0
2012,PIN,"3,799","9,644","3,595",176,"2,274",6,0,20,2
2007,EDG,"5,414","16,878","5,361",39,"4,817",9,0,5,0
2006,EFI,0,0,0,0,0,0,0,0,0
2008,X10,324,718,320,3,318,0,0,0,1
2017,WIL,"2,286","5,353","2,203",66,"1,736",14,1,1,1
2013,TUX,"2,685","4,895","2,481",153,"1,007",14,14,5,18
2014,NEB,"3,842","10,628","3,667",38,"3,248",2,121,0,14
2019,MAH,"4,507","11,784","3,990",85,"3,465",1,403,0,28
2010,SHI,151,256,146,3,142,0,0,2,0
2012,RUT,972,"2,227",956,12,749,0,1,3,0
2002,PKL,"1,439","4,179","1,412",26,"1,367",0,0,0,1
2014,X07,0,55,0,0,75,0,0,0,0
2013,RUN,"3,844","11,481","3,677",124,"2,187",7,0,23,13
2014,HPK,"2,217","3,962","1,942",110,586,18,114,29,4
2015,FHI,1,356,1,0,0,0,0,0,0
2019,MPK,"3,143","8,523","2,935",171,"2,034",9,0,26,2
2002,EVN,9,32,8,0,6,0,0,1,0
2009,CFC,2,0,0,0,0,0,0,0,2
2018,CHA,"4,177","12,713","4,132",40,"3,779",2,1,1,1
2012,MAH,572,"1,262",410,11,400,0,129,0,22
2003,CAM,911,"2,092",877,30,571,3,0,0,1
2006,CAP,"2,185","4,044","2,053",52,754,10,15,49,6
1998,EAU,910,"1,064",654,32,652,0,170,,
2011,X12,135,339,118,12,98,0,0,2,3
2004,QPK,188,357,179,8,0,0,0,0,1
1999,MPK,"2,889","9,109","2,824",59,"2,217",0,0,5,
2017,CAS,"1,990","6,181","1,853",96,"1,192",7,0,34,0
2019,PAL,"1,840","3,672","1,761",49,"1,014",7,0,0,23
2001,BEL,159,479,155,3,153,1,0,0,0
2011,POI,846,"1,318",816,26,624,4,0,0,0
2000,EYA,776,"1,602",718,19,438,3,11,0,
2007,CHW,"1,481","3,468","1,438",15,"1,175",8,8,12,0
2009,SHS,682,"1,507",602,16,570,1,59,4,0
2000,GRV,"1,099","2,144","1,048",48,351,2,0,0,
2002,COR,"1,467","6,001","1,420",8,"1,386",0,39,0,0
2016,CAR,0,0,0,0,0,0,0,0,0
2003,REN,"3,027","5,706","2,848",161,"1,657",4,4,1,9
2019,BLM,229,84,31,2,28,0,185,0,11
2012,COU,"1,426","3,725","1,408",17,"1,222",1,0,0,0
2005,FHT,"2,152","6,230","2,053",92,"1,434",5,0,0,2
2017,STR,"2,444","7,039","2,404",35,"2,184",5,0,0,0
2002,RMT,539,"1,290",532,7,354,0,0,0,0
2006,CHR,728,"2,205",712,16,687,0,0,0,0
1999,STR,"1,881","5,599","1,811",15,"1,675",0,49,0,
2005,WBN,"3,363","9,973","3,293",66,"3,001",4,0,0,0
2007,RAN,"2,968","7,710","2,902",39,"2,030",12,0,11,4
2009,WOO,"2,404","6,354","2,323",52,"1,757",18,1,7,3
2016,X08,0,33,0,0,43,0,0,0,0
2007,CRM,419,"1,163",377,9,363,0,31,0,2
2015,NGM,"1,009","2,383",961,29,733,10,9,0,0
2007,HAW,"3,327","10,430","3,298",17,"3,164",8,0,4,0
2014,X05,11,42,9,0,19,0,1,0,1
2019,RED,908,"1,594",844,62,616,1,1,0,0
2010,MAF,157,472,151,2,148,3,0,0,1
2011,SOM,"3,137","8,401","3,049",75,"2,578",5,0,6,2
2013,TAR,"4,815","17,643","4,603",129,"3,387",6,58,19,0
2016,SAW,2,0,2,0,0,0,0,0,0
2014,SFH,3,0,2,0,0,1,0,0,0
2010,RID,343,611,312,17,245,8,1,1,4
2009,SRI,31,53,26,3,13,0,0,0,2
2003,QLD,"1,873","5,471","1,853",19,"1,551",0,0,1,0
2005,ST1,1,0,1,0,0,0,0,0,0
1999,MEA,294,645,286,5,257,3,0,0,
2009,CGR,"1,897","5,525","1,836",35,"1,698",1,25,0,0
2016,FLI,62,129,60,2,53,0,0,0,0
2002,HIL,"2,767","5,345","2,662",65,"1,077",14,17,3,6
2008,MIS,"3,168","4,157","2,889",111,"1,072",10,55,68,35
2011,PAT,"2,009","4,162","1,923",83,"1,517",2,0,1,0
2013,AYB,14,0,5,0,0,0,0,1,8
2019,EYA,771,"1,754",691,60,383,9,4,7,0
2015,REN,"3,430","6,548","3,190",135,"1,766",13,63,18,11
2018,ESH,1,0,0,0,0,0,0,0,1
1999,WND,"2,280","3,878","2,172",67,709,1,28,4,
2015,FLI,62,131,61,0,55,0,0,0,1
2000,CGR,16,46,15,1,7,0,0,0,
2015,X04,0,15,0,0,24,0,0,0,0
2019,SHG,855,"1,626",740,73,338,4,16,1,21
2019,X13,47,125,43,3,41,0,0,0,1
2001,CHN,759,"1,222",726,28,75,0,0,0,5
2009,SGH,197,263,97,1,83,0,82,0,17
2016,HAY,"3,647","7,086","3,413",184,"2,010",25,1,15,9
2011,MAL,"2,779","5,833","2,620",104,"1,449",18,3,32,2
2018,CHV,"1,352","2,589","1,243",68,838,6,0,35,0
2010,CPF,"2,525","6,428","2,296",67,"2,070",8,135,6,13
2015,MID,"2,900","7,180","2,700",43,"1,829",3,146,5,3
2019,LKV,"2,342","5,355","2,272",52,"1,751",11,7,0,0
2007,SHN,"3,286","9,533","3,253",17,"2,907",4,0,11,1
2009,LEG,0,0,0,0,0,0,0,0,0
2019,OAK,"2,298","5,686","2,252",36,"1,910",7,2,1,0
2013,BUR,2,0,1,1,0,0,0,0,0
2006,ROX,162,413,150,3,144,5,4,0,0
2010,SGL,0,0,0,0,0,0,0,0,0
2014,FAL,"3,513","10,840","3,375",92,"1,827",27,1,16,2
2014,GLA,"2,978","6,485","2,852",51,"1,722",5,0,67,3
2003,CHW,"1,498","3,682","1,474",17,"1,212",2,0,4,1
2018,WWO,0,0,0,0,0,0,0,0,0
2007,COV,"5,051","13,890","4,717",49,"4,420",6,261,0,18
2017,WOO,"2,411","6,111","2,363",29,"1,715",11,1,5,2
2001,NAW,3,0,0,3,0,0,0,0,0
2013,MNI,3,0,1,2,0,0,0,0,0
2016,HAR,"2,583","7,568","2,531",45,"2,176",3,0,1,3
2016,WHI,"3,961","12,372","3,680",202,"2,448",27,0,51,1
2016,PUM,561,"1,671",545,15,415,0,1,0,0
2014,WHL,"2,952","6,298","2,743",105,"1,595",19,61,14,10
1998,AYB,16,26,12,3,7,0,0,,
2016,UND,249,780,238,11,0,0,0,0,0
2015,DNE,"1,898","2,838","1,145",76,173,0,671,0,6
2007,DAL,"3,706","9,090","3,624",50,"2,499",16,3,8,5
2014,SHI,150,262,145,3,133,1,0,1,0
2013,SVO,"2,196","5,918","1,974",28,"1,747",1,185,0,8
2011,SET,0,0,0,0,0,0,0,0,0
2014,X12,134,329,117,12,105,1,0,0,4
2018,QPK,188,430,179,8,0,0,0,0,1
2017,X06,14,54,13,1,19,0,0,0,0
2003,HUN,"5,487","14,124","5,321",148,"3,534",11,0,7,0
2011,PUM,563,"1,655",548,7,410,7,1,0,0
2014,DNC,"5,445","8,994","5,247",108,356,5,9,1,75
2018,DNE,"3,203","3,543","1,846",188,487,4,"1,133",0,32
1998,UOC,708,"1,931",686,22,684,0,0,,
2011,SFH,3,0,3,0,0,0,0,0,0
2016,BED,"4,400","11,792","4,231",132,"3,039",14,0,20,3
2005,RID,345,648,321,12,267,8,0,0,4
1999,GBK,"3,030","7,042","2,934",84,"1,586",3,2,4,
2013,NOL,172,147,52,24,51,4,76,0,16
2013,PKL,"1,448","3,782","1,425",15,"1,360",7,0,0,1
2013,DNW,"1,626","2,278","1,421",96,596,1,0,15,93
2006,X09,5,8,5,0,3,0,0,0,0
2000,SOM,"1,880","5,023","1,785",62,"1,715",0,24,0,
2009,HOR,6,75,1,2,0,0,1,0,2
2013,HIL,"3,573","6,352","3,122",77,"1,204",19,131,215,9
2004,MRL,"3,073","8,529","2,929",111,"2,155",19,0,10,4
1999,ALT,"3,247","6,270","2,817",132,"1,316",142,135,9,
2006,RED,917,"1,777",913,4,644,0,0,0,0
2008,BOW,"5,228","11,306","4,957",140,"2,631",62,14,55,0
2004,MAF,187,540,174,11,165,1,0,0,1
2011,NGM,"1,013","2,386",971,26,745,9,1,5,1
2013,HIW,992,"2,212",933,36,592,3,4,12,4
2016,WBN,"3,372","8,998","3,320",40,"3,014",9,1,1,1
2006,ST2,1,0,1,0,0,0,0,0,0
2007,ERI,"2,419","7,051","2,370",35,"1,850",2,0,12,0
2013,AUB,"3,458","8,821","2,940",73,"2,555",5,412,0,28
2005,FLN,"3,283","7,597","2,955",284,"1,199",16,2,23,3
2008,DNE,"1,234","2,312",941,30,156,5,244,11,3
1998,DRN,"2,103","6,532","2,091",12,"2,087",0,0,,
2018,CSC,794,"2,804",749,22,648,0,18,0,5
2003,CGR,563,"1,164",437,16,418,0,106,0,4
2015,VAR,"5,884","12,665","5,486",125,"3,378",43,219,7,4
1999,WGT,"1,359","3,422","1,337",19,975,1,0,0,
1999,ALB,"2,516","6,495","2,422",79,941,4,0,7,
2004,ACA,"5,012","10,515","4,736",256,"2,929",7,0,0,13
2017,CHV,"1,352","2,596","1,298",51,909,2,0,0,1
2018,MAH,"4,082","9,833","3,306",99,"3,044",1,639,1,36
2019,HIL,"3,011","6,546","2,809",168,"1,371",9,12,3,10
2019,FVI,1,0,0,1,0,0,0,0,0
2017,CIA,3,0,1,2,0,0,0,0,0
2017,X03,17,69,15,0,16,1,0,0,1
2009,LKB,"4,107","10,808","3,977",73,"3,640",12,37,5,3
2014,FVI,1,0,0,1,0,0,0,0,0
2004,GRV,"1,105","1,963","1,022",74,403,4,0,0,5
2002,X05,7,26,6,0,4,0,0,0,1
2017,APP,"2,417","6,920","2,225",176,"1,341",2,0,14,0
2019,PIN,"3,912","10,022","3,714",165,"2,221",17,0,9,7
1999,MON,"1,651","4,073","1,618",29,"1,031",2,0,0,
2019,FHI,1,317,1,0,0,0,0,0,0
2007,CRA,"2,898","6,515","2,382",20,"2,254",3,445,12,36
2008,SSD,"2,355","3,658","2,210",67,772,42,6,21,9
2018,STA,646,"1,596",559,82,358,1,4,0,0
2006,SHG,867,"1,657",811,31,340,1,6,14,4
2012,ST2,1,0,0,1,0,0,0,0,0
2008,ALT,"4,389","8,594","3,981",148,"2,756",29,147,72,12
1998,CAS,"1,819","6,422","1,797",21,"1,767",0,0,,
2010,BLN,"14,633","18,902","12,000",881,"3,822",222,"1,376",50,104
2001,MCT,"1,379","3,044","1,178",31,"1,102",0,140,1,29
2006,KIL,"3,507","6,450","3,234",117,"1,743",9,44,82,21
2011,BYV,249,648,238,4,237,6,0,0,1
2007,NHV,961,"2,359",934,19,687,2,0,6,0
2014,HOU,"1,110","2,921","1,018",48,761,9,30,3,2
2004,CIA,5,0,3,2,3,0,0,0,0
2003,SHN,"3,226","9,383","3,123",25,"2,874",1,69,0,8
1998,BRA,"2,543","6,747","2,524",19,"2,514",0,0,,
2003,MOR,"3,076","10,522","2,965",25,"2,782",2,83,0,1
2006,GRV,"1,106","2,013","1,056",21,435,17,0,12,0
2012,WHI,"3,869","11,850","3,646",147,"2,455",9,5,61,1
2002,WLD,"1,051","2,655","1,039",6,962,6,0,0,0
2004,COR,"1,474","6,095","1,458",14,"1,413",1,1,0,0
2017,FAI,"1,621","3,686","1,511",91,"1,012",10,3,4,2
2006,HAM,"2,453","8,175","2,412",15,"2,368",0,23,0,3
2019,QPK,188,455,177,8,0,1,0,0,2
2001,CHV,137,81,51,25,49,1,59,0,1
2010,SKR,466,712,246,0,233,0,182,0,38
1999,HUN,"5,430","14,598","5,183",78,"3,364",4,163,1,
2015,DDG,"4,658","12,711","4,478",99,"4,125",5,71,0,5
2003,THO,"3,754","9,039","3,624",116,"2,371",5,0,7,2
2016,DNE,"1,897","3,242","1,401",168,349,4,271,1,52
2005,WOO,"2,404","6,565","2,339",59,"1,746",4,0,0,2
2008,OGD,"3,853","8,784","3,641",76,"2,305",16,65,51,4
2016,NGM,"1,014","2,388",948,42,740,10,11,3,0
2002,WBN,"3,360","10,732","3,341",16,"3,019",1,2,0,0
1998,WIL,"2,254","5,728","2,226",27,"2,221",0,0,,
2006,MER,0,0,0,0,0,0,0,0,0
2003,NAW,3,0,0,3,0,0,0,0,0
2005,X06,13,53,13,0,9,0,0,0,0
2013,MCK,"4,655","14,162","4,612",33,"4,144",7,0,3,0
2018,UMR,"1,065","2,455","1,014",30,748,4,15,1,1
1998,WGT,"1,356","3,444","1,338",17,"1,303",0,0,,
2011,HAY,"3,634","6,724","3,330",272,"2,127",12,0,15,5
2003,PKD,"1,076","1,815",845,38,460,8,179,6,0
2003,PEG,2,2,1,1,0,0,0,0,0
2000,CIN,4,8,4,0,2,0,0,0,
1998,MID,"2,504","7,272","2,479",25,"2,473",0,0,,
2008,ERL,742,"1,189",695,30,491,4,0,10,3
2017,NAW,3,0,2,1,0,0,0,0,0
2002,LKV,"2,332","5,687","2,281",48,"1,900",3,0,0,0
2014,MPL,811,"1,931",788,16,738,5,0,1,1
2018,STD,2,0,1,1,0,0,0,0,0
2005,S23,4,6,2,1,1,0,0,0,1
2006,SAW,2,32,2,0,0,0,0,0,0
1998,CAP,"2,067","3,887","1,979",77,"1,385",0,5,,
2010,X10,320,652,302,14,306,1,0,3,0
2007,WGT,"1,333","3,152","1,301",10,"1,010",14,4,3,1
2008,BED,"4,324","11,854","4,189",80,"3,176",11,18,21,5
2000,WGT,"1,359","3,347","1,334",24,"1,009",0,0,0,
2014,CSC,0,0,0,0,0,0,0,0,0
2010,GTI,1,0,1,0,0,0,0,0,0
2007,PKL,"1,448","3,982","1,422",19,"1,377",7,0,0,0
1998,WES,6,11,5,1,2,0,0,,
2000,HAR,"2,514","7,161","2,461",30,"2,380",0,18,2,
2004,HUN,"5,478","13,821","5,264",199,"3,522",6,0,8,1
2001,CAM,906,"2,104",884,19,591,0,0,3,0
2008,CLI,"1,363","1,861","1,241",31,320,22,21,32,16
2002,WIN,"1,747","3,723","1,667",65,"1,049",4,4,7,0
2009,CHV,"1,311","2,211","1,199",20,921,0,80,1,11
2010,ST1,5,0,3,1,0,0,0,0,1
2010,RUN,"3,816","11,180","3,626",156,"2,231",17,0,14,3
2012,BRD,"3,274","5,594","2,807",114,"1,068",11,262,54,26
2019,CRA,"7,141","19,884","6,842",142,"5,933",5,131,3,18
2011,CAM,928,"2,039",854,39,538,14,0,21,0
2014,THO,"3,851","8,838","3,678",94,"2,167",24,0,47,8
2012,X14,27,83,26,0,30,0,0,0,1
2011,WHL,"2,867","5,757","2,592",174,"1,495",11,56,25,9
2009,NAW,3,0,0,3,0,0,0,0,0
2003,COA,"1,474","3,304","1,441",32,"1,214",0,1,0,0
2014,PAN,"8,063","25,129","7,719",98,"6,492",2,232,3,9
2018,EFV,2,0,0,1,0,0,1,0,0
2015,BYV,248,648,240,6,237,2,0,0,0
2001,CRA,191,388,148,6,141,0,23,0,14
2008,SET,0,0,0,0,0,0,0,0,0
2000,SPH,514,"1,276",441,32,418,2,32,0,
2005,EPK,"1,216","3,452","1,151",30,"1,089",11,22,2,0
2011,PIN,"3,807","9,626","3,583",191,"2,290",7,0,24,2
2011,PEN,"3,191","8,188","2,907",191,"1,874",12,0,80,1
2015,VAL,"1,932","5,700","1,903",20,"1,833",2,6,0,1
2003,LKB,"3,605","10,516","3,471",25,"3,310",5,93,0,11
2007,MPL,810,"2,024",797,7,753,4,0,2,0
2006,GDL,"1,108","2,770","1,096",7,907,3,1,1,0
2013,CFC,94,263,81,2,72,0,5,2,4
2009,EYA,779,"1,698",696,48,411,5,22,6,2
2010,SUN,7,73,4,2,0,0,1,0,0
2017,GBK,"3,324","7,203","3,096",174,"1,596",25,13,8,8
2015,MEA,277,651,264,9,224,2,1,0,1
2001,WHI,"3,488","12,209","3,420",53,"2,721",6,0,9,0
2012,BRT,309,803,293,6,252,2,7,0,1
2009,KEL,903,"2,277",866,36,483,1,0,0,0
1999,ERI,"2,208","6,987","2,160",18,"1,705",0,30,0,
2011,PEG,2,0,2,0,0,0,0,0,0
2013,FRA,3,0,3,0,0,0,0,0,0
1998,CRV,1,2,1,0,1,0,0,,
2011,BDO,370,942,366,3,314,1,0,0,0
2017,ING,"2,340","4,002","2,168",111,"1,146",19,6,4,32
2010,DIA,271,739,267,4,258,0,0,0,0
2018,HIW,"1,008","2,262",933,42,554,7,13,10,3
2016,VIS,854,"2,284",801,44,401,4,0,5,0
2008,BDO,371,952,361,5,312,5,0,0,0
2011,ERL,741,"1,231",692,34,460,3,8,3,1
2004,KIN,"2,368","4,205","2,154",202,802,1,1,6,4
2002,DOU,"2,965","9,040","2,950",11,"2,884",2,2,0,0
2009,LKV,"2,336","5,467","2,212",44,"1,848",72,4,3,1
2017,X09,6,70,3,0,42,0,0,0,3
2015,MON,"1,927","4,241","1,760",98,973,12,41,11,5
1999,CRE,"3,418","5,710","3,244",137,"1,204",8,5,17,
2015,BLN,"17,076","21,939","13,442",831,"4,278",43,"2,473",34,253
2012,DIS,"1,649","4,350","1,606",37,"1,360",2,0,2,2
2013,CSC,0,0,0,0,0,0,0,0,0
2017,FLN,"3,433","7,768","3,009",316,930,37,18,35,18
2004,RAM,"1,141","1,980",991,121,557,4,9,10,6
2009,COA,"1,480","3,226","1,409",49,"1,232",20,0,2,0
2011,VAR,"5,540","12,020","5,280",162,"3,388",50,40,3,5
2014,BED,"4,371","11,867","4,266",81,"3,050",10,0,13,1
1999,EPK,"1,217","3,504","1,189",17,"1,118",5,6,0,
2009,CHW,"1,492","3,514","1,441",29,"1,141",9,0,13,0
2014,UMR,"1,069","2,608","1,016",28,751,8,16,0,1
2001,GRI,6,8,4,1,2,0,0,0,1
2018,SKW,0,0,0,0,0,0,0,0,0
2013,SUN,7,65,3,4,0,0,0,0,0
2007,CHK,587,"1,726",576,4,477,3,2,2,0
2001,PEN,"2,932","9,263","2,853",58,"2,011",13,0,7,1
2017,HAR,"2,582","7,302","2,486",26,"2,121",3,0,64,3
2007,NEB,"1,299","2,680",940,19,903,0,322,1,17
2016,STA,647,"1,729",607,28,369,4,8,0,0
2013,SRI,21,30,16,2,8,1,0,1,1
2005,SOM,"3,133","8,305","3,070",57,"2,786",1,0,0,5
2005,SAN,"2,112","6,653","2,085",24,"1,910",2,0,1,0
2015,MRL,"3,213","9,080","3,099",88,"1,909",3,12,8,3
2000,STR,"2,007","5,916","1,919",14,"1,779",2,67,0,
2000,SDC,"3,394","11,923","3,360",31,"3,154",0,0,0,
2008,MLR,"2,626","6,382","2,247",53,"1,990",1,318,7,0
1998,ARB,"2,110","5,026","1,871",45,"1,562",0,189,,
2010,WND,"2,404","3,804","2,242",119,948,25,11,3,4
2016,PAT,"2,051","4,258","1,926",88,"1,489",2,34,0,1
2000,FLI,62,118,61,1,61,0,0,0,
2003,SRI,34,77,29,2,9,0,0,0,3
2011,SDC,"3,403","10,623","3,356",41,"3,047",1,0,3,2
2000,RUN,"3,582","11,726","3,520",52,"2,404",1,0,7,
2015,VAF,3,0,3,0,0,0,0,0,0
1999,CIT,"1,752","4,995","1,642",58,"1,594",0,29,0,
2001,SOV,897,"2,300",858,22,489,5,1,10,1
2018,WIN,"1,781","3,734","1,645",77,898,5,23,29,2
2012,NOL,23,0,0,0,0,0,15,2,6
2003,BDO,369,"1,054",368,1,331,0,0,0,0
2012,WOO,"2,397","6,201","2,351",41,"1,738",0,0,3,2
2017,ALB,"3,015","6,744","2,703",248,930,13,27,20,4
2019,NPK,0,0,0,0,0,0,0,0,0
2008,VAL,"1,713","5,011","1,684",25,"1,639",2,0,2,0
1999,HIW,926,"2,141",894,20,681,2,7,1,
1999,ST1,9,21,8,1,4,0,0,0,
2003,HIW,958,"2,214",921,30,676,3,0,0,4
2003,BOW,"5,186","11,675","4,991",172,"2,722",5,2,7,9
2018,SGH,"2,966","7,215","2,568",154,"2,226",6,220,0,18
1998,PAN,236,523,162,10,162,0,49,,
2014,OGD,"3,889","8,916","3,754",67,"2,203",23,2,37,6
2015,KIL,"3,798","7,672","3,509",146,"1,909",14,104,6,19
2011,MNI,3,0,0,3,0,0,0,0,0
2006,LMR,"2,304","3,288","2,184",40,603,23,30,9,18
2001,MLR,"2,098","5,512","1,906",54,"1,730",1,114,2,21
2011,HOR,6,74,3,3,0,0,0,0,0
2019,EDG,"5,437","15,395","5,316",96,"4,501",20,1,1,3
2012,NGM,"1,020","2,379",967,35,747,7,6,5,0
2010,CHR,728,"2,229",715,12,671,1,0,0,0
2016,HAW,"3,332","9,697","3,292",31,"3,031",8,0,1,0
2005,HAM,"2,428","8,005","2,381",17,"2,343",3,23,0,4
2008,DIS,"1,645","4,107","1,524",63,"1,365",1,57,0,0
2016,PIN,"3,864","9,939","3,645",179,"2,232",16,8,14,2
1999,FVI,2,2,1,1,0,0,0,0,
2002,ST1,5,6,5,0,2,0,0,0,0
2002,ROC,"1,386","3,136","1,178",60,"1,147",0,134,0,14
2010,GRE,501,940,481,17,461,3,0,0,0
2000,ALB,"2,527","6,415","2,414",108,940,0,0,2,
2014,SNA,"2,119","3,389","2,002",74,460,28,1,5,9
2013,PAN,"7,654","23,605","7,375",138,"6,237",3,115,6,17
2018,HOR,6,0,1,5,0,0,0,0,0
2013,WIL,"2,284","5,354","2,241",30,"1,785",10,1,2,0
2009,SDC,"3,401","10,969","3,356",36,"3,093",3,1,3,2
1998,MRL,"3,066","8,971","2,993",70,"2,780",0,0,,
2001,GLA,"2,892","6,565","2,838",50,"1,813",0,0,1,3
2010,X11,0,22,0,0,24,0,0,0,0
2016,MNI,3,0,1,2,0,0,0,0,0
2008,RIV,"3,457","10,080","3,406",33,"3,219",1,0,16,1
2015,GDL,"1,116","2,794","1,087",16,843,3,3,6,1
2001,PKH,800,"1,514",733,34,358,0,22,7,4
2018,SHG,862,"1,580",729,95,334,5,8,5,20
2017,EDG,"5,431","15,701","5,319",88,"4,621",13,4,2,5
2018,GBK,"3,334","7,324","3,156",135,"1,599",15,17,7,4
2007,STR,"2,418","7,234","2,378",24,"2,219",5,2,9,0
2000,GDL,"1,103","2,851","1,092",10,915,1,0,0,
2001,X09,14,20,11,1,4,0,0,0,2
2007,AYB,16,41,9,1,3,0,0,0,6
2005,MAC,"1,776","5,338","1,741",31,"1,571",2,1,0,1
2014,STA,646,"1,688",613,16,354,4,13,0,0
2010,COL,973,"2,247",925,31,710,12,1,3,1
1999,MCK,"4,149","13,037","3,950",67,"3,738",1,109,0,
2015,WHI,"3,944","12,416","3,712",139,"2,408",28,7,52,6
1998,SCE,"2,726","8,937","2,659",13,"2,648",0,45,,
2002,CIT,"3,041","7,952","2,610",32,"2,555",0,386,0,13
2009,MCI,0,0,0,0,0,0,0,0,0
2009,HAM,"2,470","8,086","2,441",24,"2,380",0,3,1,1
2015,FVI,1,0,0,1,0,0,0,0,0
2009,X07,0,32,0,0,34,0,0,0,0
2018,MDH,0,0,0,0,0,0,0,0,0
2000,RIC,"2,021","3,949","1,922",74,"1,051",3,17,3,
2009,CRA,"3,452","9,140","3,288",49,"2,963",2,77,4,32
2012,EVN,"2,576","6,594","2,133",29,"1,873",3,365,0,46
